# Time	E	I	Z
6.618000000000000682e+01 9.999999999502047210e-01 9.999996392762554587e-01 9.999990722947980082e-01
6.618500000000000227e+01 9.999999999501799630e-01 9.999996391681476027e-01 9.999990721090682433e-01
6.618999999999999773e+01 9.999999999501552050e-01 9.999996390601011420e-01 9.999990719234610470e-01
6.619500000000000739e+01 9.999999999501304471e-01 9.999996389521162987e-01 9.999990717379768634e-01
6.620000000000000284e+01 9.999999999501056891e-01 9.999996388441932949e-01 9.999990715526160256e-01
6.620499999999999829e+01 9.999999999500809311e-01 9.999996387363324635e-01 9.999990713673788667e-01
6.621000000000000796e+01 9.999999999500561731e-01 9.999996386285339156e-01 9.999990711822658307e-01
6.621500000000000341e+01 9.999999999500314152e-01 9.999996385207979843e-01 9.999990709972772507e-01
6.621999999999999886e+01 9.999999999500066572e-01 9.999996384131248917e-01 9.999990708124134597e-01
6.622499999999999432e+01 9.999999999499820102e-01 9.999996383055148597e-01 9.999990706276749020e-01
6.623000000000000398e+01 9.999999999499573633e-01 9.999996381979682214e-01 9.999990704430619104e-01
6.623499999999999943e+01 9.999999999499327163e-01 9.999996380904850879e-01 9.999990702585749291e-01
6.623999999999999488e+01 9.999999999499080694e-01 9.999996379830657922e-01 9.999990700742142913e-01
6.624500000000000455e+01 9.999999999498834224e-01 9.999996378757104454e-01 9.999990698899803299e-01
6.625000000000000000e+01 9.999999999498587755e-01 9.999996377684193805e-01 9.999990697058734890e-01
6.625499999999999545e+01 9.999999999498341285e-01 9.999996376611929305e-01 9.999990695218941017e-01
6.626000000000000512e+01 9.999999999498094816e-01 9.999996375540312066e-01 9.999990693380426121e-01
6.626500000000000057e+01 9.999999999497848346e-01 9.999996374469344307e-01 9.999990691543192423e-01
6.626999999999999602e+01 9.999999999497601877e-01 9.999996373399029359e-01 9.999990689707245473e-01
6.627500000000000568e+01 9.999999999497355407e-01 9.999996372329369443e-01 9.999990687872587491e-01
6.628000000000000114e+01 9.999999999497110048e-01 9.999996371260366779e-01 9.999990686039222920e-01
6.628499999999999659e+01 9.999999999496864689e-01 9.999996370192023587e-01 9.999990684207155089e-01
6.629000000000000625e+01 9.999999999496619330e-01 9.999996369124342088e-01 9.999990682376388440e-01
6.629500000000000171e+01 9.999999999496373970e-01 9.999996368057324503e-01 9.999990680546926303e-01
6.629999999999999716e+01 9.999999999496128611e-01 9.999996366990974161e-01 9.999990678718772008e-01
6.630500000000000682e+01 9.999999999495883252e-01 9.999996365925293285e-01 9.999990676891929997e-01
6.631000000000000227e+01 9.999999999495637892e-01 9.999996364860284093e-01 9.999990675066403600e-01
6.631499999999999773e+01 9.999999999495392533e-01 9.999996363795948806e-01 9.999990673242196149e-01
6.632000000000000739e+01 9.999999999495147174e-01 9.999996362732289645e-01 9.999990671419312083e-01
6.632500000000000284e+01 9.999999999494901815e-01 9.999996361669309941e-01 9.999990669597754733e-01
6.632999999999999829e+01 9.999999999494657565e-01 9.999996360607010804e-01 9.999990667777528541e-01
6.633500000000000796e+01 9.999999999494413316e-01 9.999996359545395563e-01 9.999990665958635727e-01
6.634000000000000341e+01 9.999999999494169067e-01 9.999996358484466441e-01 9.999990664141081842e-01
6.634499999999999886e+01 9.999999999493924818e-01 9.999996357424225657e-01 9.999990662324869106e-01
6.634999999999999432e+01 9.999999999493680569e-01 9.999996356364675432e-01 9.999990660510001961e-01
6.635500000000000398e+01 9.999999999493436320e-01 9.999996355305819096e-01 9.999990658696483736e-01
6.635999999999999943e+01 9.999999999493192071e-01 9.999996354247657759e-01 9.999990656884318874e-01
6.636499999999999488e+01 9.999999999492947822e-01 9.999996353190194753e-01 9.999990655073510704e-01
6.637000000000000455e+01 9.999999999492703573e-01 9.999996352133432298e-01 9.999990653264062557e-01
6.637500000000000000e+01 9.999999999492460434e-01 9.999996351077372614e-01 9.999990651455978874e-01
6.637999999999999545e+01 9.999999999492217295e-01 9.999996350022017921e-01 9.999990649649262986e-01
6.638500000000000512e+01 9.999999999491974156e-01 9.999996348967371551e-01 9.999990647843918223e-01
6.639000000000000057e+01 9.999999999491731018e-01 9.999996347913435724e-01 9.999990646039949027e-01
6.639499999999999602e+01 9.999999999491487879e-01 9.999996346860211549e-01 9.999990644237358728e-01
6.640000000000000568e+01 9.999999999491244740e-01 9.999996345807702358e-01 9.999990642436150656e-01
6.640500000000000114e+01 9.999999999491001601e-01 9.999996344755910371e-01 9.999990640636329253e-01
6.640999999999999659e+01 9.999999999490758462e-01 9.999996343704838919e-01 9.999990638837897849e-01
6.641500000000000625e+01 9.999999999490515323e-01 9.999996342654489112e-01 9.999990637040859776e-01
6.642000000000000171e+01 9.999999999490273295e-01 9.999996341604864281e-01 9.999990635245219472e-01
6.642499999999999716e+01 9.999999999490031266e-01 9.999996340555965535e-01 9.999990633450980271e-01
6.643000000000000682e+01 9.999999999489789237e-01 9.999996339507796206e-01 9.999990631658145501e-01
6.643500000000000227e+01 9.999999999489547209e-01 9.999996338460358514e-01 9.999990629866719605e-01
6.643999999999999773e+01 9.999999999489305180e-01 9.999996337413654679e-01 9.999990628076705912e-01
6.644500000000000739e+01 9.999999999489063152e-01 9.999996336367688032e-01 9.999990626288107753e-01
6.645000000000000284e+01 9.999999999488821123e-01 9.999996335322459684e-01 9.999990624500929570e-01
6.645499999999999829e+01 9.999999999488579094e-01 9.999996334277972965e-01 9.999990622715174693e-01
6.646000000000000796e+01 9.999999999488337066e-01 9.999996333234230095e-01 9.999990620930846452e-01
6.646500000000000341e+01 9.999999999488096147e-01 9.999996332191233295e-01 9.999990619147949289e-01
6.646999999999999886e+01 9.999999999487855229e-01 9.999996331148984785e-01 9.999990617366486534e-01
6.647499999999999432e+01 9.999999999487614311e-01 9.999996330107487896e-01 9.999990615586461518e-01
6.648000000000000398e+01 9.999999999487373392e-01 9.999996329066743739e-01 9.999990613807877571e-01
6.648499999999999943e+01 9.999999999487132474e-01 9.999996328026755643e-01 9.999990612030739134e-01
6.648999999999999488e+01 9.999999999486891555e-01 9.999996326987525830e-01 9.999990610255050649e-01
6.649500000000000455e+01 9.999999999486650637e-01 9.999996325949056519e-01 9.999990608480814336e-01
6.650000000000000000e+01 9.999999999486409719e-01 9.999996324911349932e-01 9.999990606708034635e-01
6.650499999999999545e+01 9.999999999486169910e-01 9.999996323874408288e-01 9.999990604936714877e-01
6.651000000000000512e+01 9.999999999485930102e-01 9.999996322838234919e-01 9.999990603166859504e-01
6.651500000000000057e+01 9.999999999485690294e-01 9.999996321802830934e-01 9.999990601398471846e-01
6.651999999999999602e+01 9.999999999485450486e-01 9.999996320768199665e-01 9.999990599631555233e-01
6.652500000000000568e+01 9.999999999485210678e-01 9.999996319734343331e-01 9.999990597866112996e-01
6.653000000000000114e+01 9.999999999484970870e-01 9.999996318701264153e-01 9.999990596102149576e-01
6.653499999999999659e+01 9.999999999484731061e-01 9.999996317668965462e-01 9.999990594339668304e-01
6.654000000000000625e+01 9.999999999484491253e-01 9.999996316637448368e-01 9.999990592578672510e-01
6.654500000000000171e+01 9.999999999484252555e-01 9.999996315606716202e-01 9.999990590819166636e-01
6.654999999999999716e+01 9.999999999484013857e-01 9.999996314576770073e-01 9.999990589061154012e-01
6.655500000000000682e+01 9.999999999483775159e-01 9.999996313547613314e-01 9.999990587304637968e-01
6.656000000000000227e+01 9.999999999483536461e-01 9.999996312519248143e-01 9.999990585549622946e-01
6.656499999999999773e+01 9.999999999483297763e-01 9.999996311491677892e-01 9.999990583796111165e-01
6.657000000000000739e+01 9.999999999483059065e-01 9.999996310464903670e-01 9.999990582044108178e-01
6.657500000000000284e+01 9.999999999482820368e-01 9.999996309438927700e-01 9.999990580293616205e-01
6.657999999999999829e+01 9.999999999482581670e-01 9.999996308413753310e-01 9.999990578544639686e-01
6.658500000000000796e+01 9.999999999482344082e-01 9.999996307389382721e-01 9.999990576797181951e-01
6.659000000000000341e+01 9.999999999482106494e-01 9.999996306365818155e-01 9.999990575051246333e-01
6.659499999999999886e+01 9.999999999481868906e-01 9.999996305343061831e-01 9.999990573306837272e-01
6.659999999999999432e+01 9.999999999481631319e-01 9.999996304321115970e-01 9.999990571563958097e-01
6.660500000000000398e+01 9.999999999481393731e-01 9.999996303299983902e-01 9.999990569822612141e-01
6.660999999999999943e+01 9.999999999481156143e-01 9.999996302279666738e-01 9.999990568082802733e-01
6.661499999999999488e+01 9.999999999480918556e-01 9.999996301260167808e-01 9.999990566344534315e-01
6.662000000000000455e+01 9.999999999480680968e-01 9.999996300241489333e-01 9.999990564607810217e-01
6.662500000000000000e+01 9.999999999480444490e-01 9.999996299223633534e-01 9.999990562872633770e-01
6.662999999999999545e+01 9.999999999480208013e-01 9.999996298206602630e-01 9.999990561139009415e-01
6.663500000000000512e+01 9.999999999479971535e-01 9.999996297190399952e-01 9.999990559406940482e-01
6.664000000000000057e+01 9.999999999479735058e-01 9.999996296175026611e-01 9.999990557676430303e-01
6.664499999999999602e+01 9.999999999479498580e-01 9.999996295160485937e-01 9.999990555947482207e-01
6.665000000000000568e+01 9.999999999479262103e-01 9.999996294146780151e-01 9.999990554220100636e-01
6.665500000000000114e+01 9.999999999479025625e-01 9.999996293133911474e-01 9.999990552494288920e-01
6.665999999999999659e+01 9.999999999478790258e-01 9.999996292121882124e-01 9.999990550770050390e-01
6.666500000000000625e+01 9.999999999478554891e-01 9.999996291110694324e-01 9.999990549047389488e-01
6.667000000000000171e+01 9.999999999478319523e-01 9.999996290100350294e-01 9.999990547326308432e-01
6.667499999999999716e+01 9.999999999478084156e-01 9.999996289090853363e-01 9.999990545606811665e-01
6.668000000000000682e+01 9.999999999477848789e-01 9.999996288082204643e-01 9.999990543888903627e-01
6.668500000000000227e+01 9.999999999477613422e-01 9.999996287074407464e-01 9.999990542172586538e-01
6.668999999999999773e+01 9.999999999477378054e-01 9.999996286067464046e-01 9.999990540457864840e-01
6.669500000000000739e+01 9.999999999477143797e-01 9.999996285061376611e-01 9.999990538744741864e-01
6.670000000000000284e+01 9.999999999476909540e-01 9.999996284056147378e-01 9.999990537033220939e-01
6.670499999999999829e+01 9.999999999476675283e-01 9.999996283051779677e-01 9.999990535323306506e-01
6.671000000000000796e+01 9.999999999476441026e-01 9.999996282048274621e-01 9.999990533615001898e-01
6.671500000000000341e+01 9.999999999476206769e-01 9.999996281045635538e-01 9.999990531908310443e-01
6.671999999999999886e+01 9.999999999475972512e-01 9.999996280043864649e-01 9.999990530203235473e-01
6.672499999999999432e+01 9.999999999475739365e-01 9.999996279042964176e-01 9.999990528499780318e-01
6.673000000000000398e+01 9.999999999475506218e-01 9.999996278042936337e-01 9.999990526797949419e-01
6.673499999999999943e+01 9.999999999475273071e-01 9.999996277043783355e-01 9.999990525097746108e-01
6.673999999999999488e+01 9.999999999475039925e-01 9.999996276045507448e-01 9.999990523399173714e-01
6.674500000000000455e+01 9.999999999474806778e-01 9.999996275048110839e-01 9.999990521702236679e-01
6.675000000000000000e+01 9.999999999474573631e-01 9.999996274051596856e-01 9.999990520006938333e-01
6.675499999999999545e+01 9.999999999474340484e-01 9.999996273055967722e-01 9.999990518313282006e-01
6.676000000000000512e+01 9.999999999474108447e-01 9.999996272061225655e-01 9.999990516621271031e-01
6.676500000000000057e+01 9.999999999473876411e-01 9.999996271067372877e-01 9.999990514930908736e-01
6.676999999999999602e+01 9.999999999473644374e-01 9.999996270074411608e-01 9.999990513242199563e-01
6.677500000000000568e+01 9.999999999473412338e-01 9.999996269082344069e-01 9.999990511555146844e-01
6.678000000000000114e+01 9.999999999473180301e-01 9.999996268091172480e-01 9.999990509869753907e-01
6.678499999999999659e+01 9.999999999472948264e-01 9.999996267100900171e-01 9.999990508186024085e-01
6.679000000000000625e+01 9.999999999472716228e-01 9.999996266111528254e-01 9.999990506503961818e-01
6.679500000000000171e+01 9.999999999472485301e-01 9.999996265123060057e-01 9.999990504823569326e-01
6.679999999999999716e+01 9.999999999472254375e-01 9.999996264135497803e-01 9.999990503144851051e-01
6.680500000000000682e+01 9.999999999472023449e-01 9.999996263148843711e-01 9.999990501467811432e-01
6.681000000000000227e+01 9.999999999471792522e-01 9.999996262163100003e-01 9.999990499792452692e-01
6.681499999999999773e+01 9.999999999471561596e-01 9.999996261178268897e-01 9.999990498118779270e-01
6.682000000000000739e+01 9.999999999471330669e-01 9.999996260194353725e-01 9.999990496446794497e-01
6.682500000000000284e+01 9.999999999471100853e-01 9.999996259211355598e-01 9.999990494776501704e-01
6.682999999999999829e+01 9.999999999470871037e-01 9.999996258229277846e-01 9.999990493107904221e-01
6.683500000000000796e+01 9.999999999470641221e-01 9.999996257248122689e-01 9.999990491441005380e-01
6.684000000000000341e+01 9.999999999470411405e-01 9.999996256267892347e-01 9.999990489775809621e-01
6.684499999999999886e+01 9.999999999470181589e-01 9.999996255288589042e-01 9.999990488112320275e-01
6.684999999999999432e+01 9.999999999469951772e-01 9.999996254310214994e-01 9.999990486450540672e-01
6.685500000000000398e+01 9.999999999469723067e-01 9.999996253332772422e-01 9.999990484790474143e-01
6.685999999999999943e+01 9.999999999469494361e-01 9.999996252356263549e-01 9.999990483132124020e-01
6.686499999999999488e+01 9.999999999469265655e-01 9.999996251380691703e-01 9.999990481475494741e-01
6.687000000000000455e+01 9.999999999469036949e-01 9.999996250406057996e-01 9.999990479820589639e-01
6.687500000000000000e+01 9.999999999468808243e-01 9.999996249432365758e-01 9.999990478167412045e-01
6.687999999999999545e+01 9.999999999468579537e-01 9.999996248459617210e-01 9.999990476515965288e-01
6.688500000000000512e+01 9.999999999468351941e-01 9.999996247487813461e-01 9.999990474866252699e-01
6.689000000000000057e+01 9.999999999468124345e-01 9.999996246516957843e-01 9.999990473218278719e-01
6.689499999999999602e+01 9.999999999467896750e-01 9.999996245547053686e-01 9.999990471572046680e-01
6.690000000000000568e+01 9.999999999467669154e-01 9.999996244578102100e-01 9.999990469927559911e-01
6.690500000000000114e+01 9.999999999467441558e-01 9.999996243610105306e-01 9.999990468284821743e-01
6.690999999999999659e+01 9.999999999467213962e-01 9.999996242643065525e-01 9.999990466643835507e-01
